# Each row is one day
#  Day, Drift Advantage, Bet Advantage
0, 0.0000e+00, 0.0000e+00
0, -4.5387e-03, 0.0000e+00
0, -1.6120e-02, 0.0000e+00
0, -1.6793e-02, 0.0000e+00
0, -9.6723e-03, 0.0000e+00
0, -7.6027e-03, 0.0000e+00
0, -4.0076e-03, 0.0000e+00
0, -4.5114e-03, 0.0000e+00
0, -1.9793e-03, 0.0000e+00
0, -2.0613e-03, 0.0000e+00
0, -6.5494e-04, 0.0000e+00
0, -8.9254e-04, -8.6890e-02
0, -1.1688e-03, -5.7674e-02
0, -3.0503e-03, -2.4081e-02
0, -4.9151e-03, -1.3588e-02
0, -3.9275e-03, -1.9164e-02
0, -4.3710e-03, -7.6737e-03
0, -2.5627e-03, -9.9809e-03
0, -2.6683e-03, -3.9474e-03
0, -1.8127e-03, -9.6470e-04
0, -2.2720e-03, -2.0200e-03
0, -1.5015e-03, -2.4187e-03
0, -1.5446e-03, -1.4712e-02
0, -1.2227e-03, -2.4477e-02
0, -1.3945e-03, -2.3434e-02
0, -9.1517e-04, -7.0468e-03
0, -7.6026e-04, -1.2871e-02
0, -6.3952e-04, -3.7244e-03
0, -1.5408e-03, -6.8043e-03
0, -1.7588e-03, -4.8529e-03
0, -1.6937e-03, -4.7689e-03
0, 5.1182e-04, 1.5721e-03
0, -6.0502e-04, -1.2272e-04
0, -5.5050e-04, -1.1661e-03
0, -5.2535e-04, -2.3247e-04
0, -3.2157e-04, 9.2556e-04
0, -2.2562e-04, 1.8383e-03
0, -3.2952e-04, 5.2494e-04
0, -3.7905e-04, 1.3943e-03
0, -4.1043e-04, -2.9686e-06
0, -4.9197e-04, -4.8865e-04
0, -4.3734e-04, -2.2332e-03
0, -4.9097e-04, -2.5906e-03
0, -5.7233e-04, -1.9432e-03
0, -1.0957e-04, -1.8912e-03
0, -3.9103e-04, -1.3858e-03
0, -4.1116e-04, -1.4331e-03
0, -2.8249e-04, -1.3713e-03
0, -1.1175e-04, -1.0697e-03
0, 4.5955e-03, -1.5695e-03
