# Each row is one day
#  Day, Drift Advantage, Bet Advantage
0, 0.0000e+00, 0.0000e+00
0, -5.5511e-17, 0.0000e+00
0, 1.6653e-16, 0.0000e+00
0, 2.7756e-17, 0.0000e+00
0, 2.7756e-17, 0.0000e+00
0, 0.0000e+00, 0.0000e+00
0, 0.0000e+00, 0.0000e+00
0, 0.0000e+00, 0.0000e+00
0, -1.3878e-17, 0.0000e+00
0, 1.3878e-17, 0.0000e+00
0, 6.9389e-18, 0.0000e+00
0, 0.0000e+00, -2.0155e-01
0, 1.1102e-16, -2.9233e-01
0, 0.0000e+00, -2.0196e-01
0, 1.6653e-16, -1.7296e-01
0, -5.5511e-17, -9.4410e-02
0, 5.5511e-17, -1.1927e-01
0, 0.0000e+00, -7.6685e-02
0, -8.3267e-17, -9.3052e-02
0, -2.7756e-17, -7.3316e-02
0, -2.7756e-17, -6.3853e-03
0, 6.9389e-18, -1.8537e-02
0, 0.0000e+00, -7.3651e-02
0, 8.3267e-17, -8.9458e-02
0, -2.7756e-17, -8.2915e-02
0, -5.5511e-17, -7.9495e-02
0, 2.7756e-17, -1.1361e-01
0, 0.0000e+00, -1.3988e-01
0, 1.6653e-16, -1.3348e-01
0, -1.1102e-16, -1.1306e-01
0, -5.0530e-04, -5.1025e-02
0, 5.5511e-17, -7.9175e-02
0, 8.3267e-17, -2.8088e-02
0, 1.6653e-16, -3.8560e-02
0, 5.5511e-17, -7.4740e-02
0, -8.3267e-17, -1.1575e-01
0, 1.1102e-16, -9.8266e-02
0, 5.5511e-17, -1.4580e-01
0, 1.1102e-16, -1.7970e-01
0, 0.0000e+00, -2.2804e-01
0, -2.2204e-16, -2.7372e-01
0, -3.3298e-04, -2.7391e-01
0, -2.5777e-04, -2.4099e-01
0, -1.5380e-04, -1.8319e-01
0, -9.8758e-05, -2.0035e-01
0, -1.1989e-04, -2.2735e-01
0, -1.1161e-04, -2.6142e-01
0, -1.2991e-04, -3.0128e-01
0, -1.1850e-04, -3.4491e-01
0, 1.0373e+00, -4.5851e-01
